Date,Campaign Name,AD Spent,No. of Leads,Cost Per Lead,CTR,Link Click,LP Views,Member Passed,LP Conversion %
01 Mar (Fri),All Campaigns,2384.25,13.0,183.40384615384616,1.2230485,284.0,227.0,79.92957746478874,5.726872246696035
02 Mar (Sat),All Campaigns,2280.48,8.0,285.06,0.815841,194.0,143.0,73.71134020618557,5.594405594405594
03 Mar (Sun),All Campaigns,1911.53,11.0,173.77545454545455,2.377824,166.0,129.0,77.71084337349397,8.527131782945736
04 Mar (Mon),All Campaigns,0.0,2.0,0.0,,0.0,0.0,0.0,0.0
05 Mar (Tue),All Campaigns,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
06 Mar (Wed),All Campaigns,0.0,1.0,0.0,,0.0,0.0,0.0,0.0
07 Mar (Thu),All Campaigns,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
08 Mar (Fri),All Campaigns,0.0,1.0,0.0,,0.0,0.0,0.0,0.0
16 Mar (Sat),All Campaigns,403.43,0.0,0.0,2.539405,29.0,22.0,75.86206896551724,0.0
17 Mar (Sun),All Campaigns,2622.5,21.0,124.88095238095238,1.5375869999999998,153.0,120.0,78.43137254901961,17.5
18 Mar (Mon),All Campaigns,2706.65,10.0,270.665,1.3413700000000002,140.0,99.0,70.71428571428572,10.1010101010101
19 Mar (Tue),All Campaigns,2973.0299999999997,20.0,148.6515,0.9603243333333333,228.0,149.0,65.35087719298247,13.422818791946309
20 Mar (Wed),All Campaigns,2970.9,15.0,198.06,0.6166655,227.0,177.0,77.97356828193833,8.47457627118644
21 Mar (Thu),All Campaigns,2936.71,23.0,127.68304347826087,0.7171799999999999,251.0,164.0,65.33864541832669,14.02439024390244
22 Mar (Fri),All Campaigns,2974.4700000000003,11.0,270.40636363636366,0.6343155,235.0,147.0,62.5531914893617,7.482993197278912
23 Mar (Sat),All Campaigns,2905.29,19.0,152.91,0.567895,241.0,170.0,70.53941908713693,11.176470588235295
24 Mar (Sun),All Campaigns,2388.6400000000003,11.0,217.14909090909094,0.774982,279.0,162.0,58.06451612903226,6.790123456790123
25 Mar (Mon),All Campaigns,0.0,4.0,0.0,,0.0,0.0,0.0,0.0
26 Mar (Tue),All Campaigns,0.0,3.0,0.0,,0.0,0.0,0.0,0.0
27 Mar (Wed),All Campaigns,0.0,1.0,0.0,,0.0,0.0,0.0,0.0
28 Mar (Thu),All Campaigns,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
29 Mar (Fri),All Campaigns,0.0,1.0,0.0,,0.0,0.0,0.0,0.0
31 Mar (Sun),All Campaigns,1531.5900000000001,10.0,153.15900000000002,0.6321005000000001,216.0,105.0,48.61111111111111,9.523809523809524
