Campaign name,Day,Delivery status,Delivery level,Amount spent (INR),Impressions,"CPM (cost per 1,000 impressions)",Reach,Frequency,CTR (link click-through rate),Video plays,Video plays at 100%,CTR (all),Link clicks,Landing page views,Result Type,Results,Purchase ROAS (return on ad spend),Attribution setting,Cost per result,Reporting starts,Reporting ends
ForeignSales-AsiaAntartrica,3/31/2024,active,campaign,1033.89,21966,47.06774,20810,1.05555,0.883183,19116,51,1.884731,194,91,freewebinarThankyoupage,9,,7-day click or 1-day view,114.8767,3/31/2024,3/31/2024
Feedbackrs9,3/31/2024,inactive,campaign,497.7,5774,86.19674,5590,1.032916,0.381018,5254,10,0.865951,22,14,,1,,7-day click or 1-day view,,3/31/2024,3/31/2024
ForeignSales-AsiaAntartrica,3/29/2024,active,campaign,0,0,,0,0,,,,,,,freewebinarThankyoupage,1,,7-day click or 1-day view,0,3/29/2024,3/29/2024
Feedbackrs9,3/28/2024,inactive,campaign,0,0,,0,0,,,,,,,,,,7-day click or 1-day view,,3/28/2024,3/28/2024
ForeignSales-AsiaAntartrica,3/27/2024,active,campaign,0,0,,0,0,,,,,,,freewebinarThankyoupage,1,,7-day click or 1-day view,0,3/27/2024,3/27/2024
ForeignSales-AsiaAntartrica,3/26/2024,active,campaign,0,0,,0,0,,,,,,,freewebinarThankyoupage,3,,7-day click or 1-day view,0,3/26/2024,3/26/2024
Feedbackrs9,3/26/2024,inactive,campaign,0,0,,0,0,,,,,,,,,,7-day click or 1-day view,,3/26/2024,3/26/2024
ForeignSales-AsiaAntartrica,3/25/2024,active,campaign,0,0,,0,0,,,,,,,freewebinarThankyoupage,4,,7-day click or 1-day view,0,3/25/2024,3/25/2024
ForeignSales-AsiaAntartrica,3/24/2024,active,campaign,815.22,16770,48.61181,15373,1.090874,1.079308,12753,50,2.474657,181,97,freewebinarThankyoupage,6,,7-day click or 1-day view,135.87,3/24/2024,3/24/2024
Feedbackrs9,3/24/2024,inactive,campaign,1573.42,20822,75.56527,19635,1.060453,0.470656,16758,44,1.022956,98,65,paid47Second,5,0.0286,7-day click or 1-day view,1573.42,3/24/2024,3/24/2024
Feedbackrs9,3/23/2024,inactive,campaign,1941.17,25353,76.56569,23188,1.093367,0.402319,20067,54,0.938745,102,72,paid47Second,15,0.027818,7-day click or 1-day view,970.585,3/23/2024,3/23/2024
ForeignSales-AsiaAntartrica,3/23/2024,active,campaign,964.12,18951,50.87436,16761,1.13066,0.733471,14467,49,2.100153,139,98,freewebinarThankyoupage,4,,7-day click or 1-day view,241.03,3/23/2024,3/23/2024
ForeignSales-AsiaAntartrica,3/22/2024,active,campaign,991.47,15609,63.51912,13346,1.169564,0.858479,11664,51,2.312768,134,76,,,,7-day click or 1-day view,,3/22/2024,3/22/2024
Feedbackrs9,3/22/2024,inactive,campaign,1983,24625,80.52792,23030,1.069257,0.410152,18915,49,0.787817,101,71,paid47Second,11,0.027231,7-day click or 1-day view,661,3/22/2024,3/22/2024
Foreign|Sales|Tamil - Advantage+ shopping campaign – Copy,3/22/2024,inactive,campaign,0,0,,0,0,,,,,,,,,,7-day click or 1-day view,,3/22/2024,3/22/2024
ForeignSales-AsiaAntartrica,3/21/2024,active,campaign,954.4,15002,63.61818,12858,1.166744,0.933209,11194,50,2.326356,140,74,freewebinarThankyoupage,3,,7-day click or 1-day view,318.1333,3/21/2024,3/21/2024
Feedbackrs9,3/21/2024,inactive,campaign,1982.31,22149,89.49885,20667,1.071709,0.501151,17104,57,1.047451,111,90,paid47Second,20,0.063562,7-day click or 1-day view,283.1871,3/21/2024,3/21/2024
Foreign|Sales|Tamil - Advantage+ shopping campaign – Copy,3/21/2024,inactive,campaign,0,0,,0,0,,,,,,,,,,7-day click or 1-day view,,3/21/2024,3/21/2024
ForeignSales-AsiaAntartrica,3/20/2024,active,campaign,973.36,16814,57.88985,14389,1.168532,0.802902,12512,59,1.903176,135,102,freewebinarThankyoupage,4,,7-day click or 1-day view,243.34,3/20/2024,3/20/2024
