Date,Campaign Name,AD Spent,No. of Leads,Cost Per Lead,CTR,Link Click,LP Views,Member Passed,LP Conversion %
01 Mar (Fri),All Campaigns,2384.25,13,183.4038462,1.2230485,284,227,79.92957746,5.726872247
02 Mar (Sat),All Campaigns,2280.48,8,285.06,0.815841,194,143,73.71134021,5.594405594
03 Mar (Sun),All Campaigns,1911.53,11,173.7754545,2.377824,166,129,77.71084337,8.527131783
04 Mar (Mon),All Campaigns,0,2,0,,0,0,0,0
05 Mar (Tue),All Campaigns,0,0,0,,0,0,0,0
06 Mar (Wed),All Campaigns,0,1,0,,0,0,0,0
07 Mar (Thu),All Campaigns,0,0,0,,0,0,0,0
08 Mar (Fri),All Campaigns,0,1,0,,0,0,0,0
16 Mar (Sat),All Campaigns,403.43,0,0,2.539405,29,22,75.86206897,0
17 Mar (Sun),All Campaigns,2622.5,21,124.8809524,1.537587,153,120,78.43137255,17.5
18 Mar (Mon),All Campaigns,2706.65,10,270.665,1.34137,140,99,70.71428571,10.1010101
19 Mar (Tue),All Campaigns,2973.03,20,148.6515,0.960324333,228,149,65.35087719,13.42281879
20 Mar (Wed),All Campaigns,2970.9,15,198.06,0.6166655,227,177,77.97356828,8.474576271
21 Mar (Thu),All Campaigns,2936.71,23,127.6830435,0.71718,251,164,65.33864542,14.02439024
22 Mar (Fri),All Campaigns,2974.47,11,270.4063636,0.6343155,235,147,62.55319149,7.482993197
23 Mar (Sat),All Campaigns,2905.29,19,152.91,0.567895,241,170,70.53941909,11.17647059
24 Mar (Sun),All Campaigns,2388.64,11,217.1490909,0.774982,279,162,58.06451613,6.790123457
25 Mar (Mon),All Campaigns,0,4,0,,0,0,0,0
26 Mar (Tue),All Campaigns,0,3,0,,0,0,0,0
27 Mar (Wed),All Campaigns,0,1,0,,0,0,0,0
28 Mar (Thu),All Campaigns,0,0,0,,0,0,0,0
29 Mar (Fri),All Campaigns,0,1,0,,0,0,0,0
31 Mar (Sun),All Campaigns,1531.59,10,153.159,0.6321005,216,105,48.61111111,9.523809524
